name,apparition,affiliations,occupations,origin,status,age,birthday,height,weight,bloodtype,fruit.name,devilfruit.type,residence,bounty
Robson,Chapter 135;Episode 81[1],Drum Kingdom(former);Bliking Pirates(disbanded)[1],Wapol'sPet[1],,Unknown,,,,,,,,,
Roshu[1],Chapter 391;Episode 275[2],Ohara Archaeologists[2],Archaeologist,,Deceased,,,,,,,,,
,,,,,,,,,,,Impel Down,,,
Yeti Cool Brothers,Chapter 665;Episode 591[1],Caesar Clown[1],Mercenaries;[1]Assassins;[2]Snipers,Grand Line[3],Unknown,25[2],December 11th[4],"4250 cm (139'5"")[3]",,S (RH-)[3],,,,"20,000,000 (each)[3]"
Rocks D. Xebec;Rox (Formerly),Chapter 957;Episode 958[1],Rocks Pirates;[1]Clan of D.,Pirate Captain[1],,Deceased,,,,,,,,,Unknown[2]
Rockstar,Chapter 234;Episode 151[1],Red Hair Pirates[1],Pirate[1],,Alive,,June 9th[2],,,,,,,"94,000,000[1]"
Roddy,Chapter 805;Episode 754[1],Mokomo Dukedom;Guardians[2];Ninja-Pirate-Mink-Samurai Alliance,Guardian[2],,Alive,,,,,,,,Zou(Whale Forest)[2],
Roji,Chapter 391;Episode 275[1],,Housewife,,Deceased,,,,,,,,,
Rokkaku,Chapter 4;Episode 2[1],Marines(153rd Branch)[1],Marine Lieutenant Junior Grade,East Blue[2],Alive,,June 19th[2],,,,,,Shells Town(153rd Branch),"At least1,000,000[3]"
Rokki,Chapter 1036;Episode 1063[1],Beasts Pirates(Numbers),,Punk Hazard,Alive,,,,,,,,Onigashima,
Rolling Logan,Chapter 706;Episode 652[1],Majiatsuka Kingdom[2],Army Commander[1](Viz: Military Captain),,Alive,,,,,,,,,
Ronja,Chapter 1134[1],Walrus School[1],Student[1],,Alive,,,,,,,,Elbaph[1],
Roronoa Arashi,SBS Volume 105(mentioned)[1],,,,Deceased,,,,,,,,,
Roronoa Pinzolo,SBS Volume 105(mentioned)[1],,Swordsman[1],,Unknown,,,,,,,,,
"Roronoa Zoro (Uncut dub, Early VIZ manga);Roronoa Zolo (Edited dub, VIZ Media, 4Kids)",Chapter 3;Episode 1[1],Straw Hat Pirates;[2]Straw Hat Grand Fleet;Shimotsuki Family(descended);[3]Ninja-Pirate-Mink-Samurai Alliance(disbanded),Master Swordsman;Pirate;[2]CrewCombatant; SeniorOfficer;[4]Rōnin(temporary);[5]Bounty Hunter(former)[6],East Blue[7],Alive,19 (debut)[10]21 (after timeskip)[11][12],November 11th[13],"178 cm (5'10"") (debut)[14]181 cm (5'11"") (after timeskip)[11][12]",,XF[15],,,"Shimotsuki Village(former);Kuraigana Island(former, temporary)","1,111,000,000[4][16]320,000,000[17]120,000,000[18]60,000,000[19]"
Roshio,Chapter 222;Episode 146[1],Roshio Pirates[1],Pirate Captain[1],,Alive,,June 15th[2],,,,,,,"42,000,000[1]"
Ross,Chapter 223;Episode 146[1],Bellamy Pirates[1],Combatant;Swordsman[2],,Unknown,,,,,,,,,
RoswaldRosward (WT100),Chapter 497;Episode 391[1],World Government,World Noble,Red Line(Mary Geoise)[2],Alive,53 (debut)55 (after timeskip)[2],June 28th[3],"215 cm (7'1"")[2]",,XF[2],,,Mary Geoise,
Lowwing,Chapter 967[1];Episode 959[2],Roger Pirates,Pirate,,Unknown,,,,,,,,,
Roxanne,Chapter 46[1],,,East Blue[2],Alive,,January 23rd[2],,,,,,,
Zombie,,,,,,,,,,,,,,
Lun (Viz);Run (FUNimation subs),Chapter 679;Episode 605[1],Caesar Clown[1],Pirate(former)[1],,Alive,,,,,,,,,
Rush,Chapter 558[1],Ally of theWhitebeard Pirates[1],Pirate Captain[1],,Alive,,,,,,,,,
Russian,Chapter 775;Episode 715[1],,,,Deceased,,,,,,,,,
Ryuboshi,Chapter 609;Episode 528[1],Neptune Family[2],Princeof theRyugu Kingdom[2],Grand Line(Ryugu Kingdom)[3],Alive,23[3],June 24th[4],544 cm (17’10”)[3],,S[3],,,Ryugu Palace[2],
Ryuma,Chapter 448;Episode 342[1],Thriller Bark Pirates,General Zombie,,Deceased,,,"179 cm (5'10"")[2]",,,,,Thriller Bark,
Ryunosuke,Chapter 803;Episode 752[1],,,,Deceased,,,,,,,,,
S-Bear,Chapter 1062;Episode 1092[1],Seraphim(Pacifista)[1],,New World(Egghead)[2],Alive,2 (biologically 8)[3],,"660 cm (21'8"")[3]",,X (Green Blood)[3],Paw-Paw Fruit,ArtificialParamecia,Egghead[1],
S-Hawk,Chapter 1059;Episode 1087[1],Seraphim(Pacifista)[1],,New World(Egghead)[2],Alive,2 (biologically 8)[3],,"212 cm (6'11½"")[3]",,S (Green Blood)[3],Dice-Dice Fruit,ArtificialParamecia,Egghead[1],
S-Shark,Chapter 1065;Episode 1094[1],Seraphim(Pacifista)[1],,New World(Egghead)[2],Alive,2 (biologically 8)[3],,"320 cm (10'6"")[3]",,F (Green Blood)[3],Swim-Swim Fruit,ArtificialParamecia,Egghead[1],
S-Snake,Chapter 1059;Episode 1087[1],Seraphim(Pacifista)[1],,New World(Egghead)[2],Alive,2 (biologically 8)[3],,"208 cm (6'10"")[3]",,S (Green Blood)[3],Love-Love Fruit,ArtificialParamecia,Egghead[1],
Saber,Chapter 552;Episode 461[1],Spade Pirates[1],Pirate[1],,Alive,,,,,,,,,
Sabo,Chapter 583;Episode 494[1],Revolutionary Army;Dadan Family(former);Goa Kingdom(defected),"Chief ofStaff(参謀総長,Sanbō Sōchō?)of the Revolutionary Army;[2]Noble(former);[3]Pirate(former); Thief (former);Bandit(former)",East Blue(Goa Kingdom)[4],Alive,"10 (flashback, debut)[1]22 (after timeskip)[6]",March 20th[7],"100 cm (3'3"") (flashback, debut)[4]187 cm (6'2"") (After timeskip)[6]",,X[4],"Flame-Flame Fruit (VIZ,Funimation);Flare-Flare Fruit (4Kids, Funimation subs)",Logia,Goa Kingdom (former);Mt. Colubo(former);Baltigo(former);Momoiro Island,"Unknown[8]602,000,000[9]"
Sadie,Chapter 531;Episode 432[1],Impel Down,"Chief Guard(獄卒長,Gokusotsu Chō?)",Grand Line[2],Alive,21 (debut)23 (after timeskip)[2],March 5th[3],"183 cm (6'0"")[2]",,S[2],,,,
Sai,Chapter 704;[1]Episode 632[2],Happo Navy;Chinjao Family;Straw Hat Grand Fleet[3],Captainof the Third Ship of theStraw Hat Grand Fleet;[3]13thLeaderof the Happo Navy;Martial Artist(VIZ: Fighter)[4],West Blue(Kano Country)[5],Alive,28[7],August 13th[7],"242 cm (7'11"")[5]",,F[5],,,Kano Country,"210,000,000[5]"
,Chapter 915;Episode 901[1],,,,Unknown,,,,,,,,Wano Country(Bakura Town)[1],
,Chapter 993;Episode 1006[1],Beasts Pirates(Armored Division);[1]Kurozumi Tama[2],Gifter,,Alive,,,,,,RhinoSMILE,Artificial Zoan,,
Sakazuki,Chapter 397;Episode 278[1],Marines[1],Fleet Admiral;[2]Admiral[3](former);Vice Admiral(former)[1],North Blue[4],Alive,53 (debut);55 (after timeskip)[5],August 16th[6],306 cm (10’)[4],,F[4],Mag-Mag Fruit (VIZ)Magma-Magma Fruit,Logia,Marine Headquarters(New Marineford),"(5,000,000,000)[7]"
Osaki,Chapter 940(mentioned);Episode 937[1],,,,Alive,,,,,,,,"Ebisu Town,Wano Country[1]",
Saldeath,Chapter 530;Episode 431[1],Impel Down[1],"Chief Guard(牢番長,Rōban Chō?)",Grand Line[2],Alive,16 (debut)18 (after timeskip)[2],June 8th[3],"218 cm (7'1"") (after timeskip)[2]",,F[2],,,,
Salome,Chapter 516;Episode 409[1],Kuja[1],Snake Weapon;Pet,,Alive,,March 6th[2],,,,,,Amazon Lily[1],
Sam,Chapter 94;Episode 43[1],Easter Egg,,East Blue(Conomi Islands),Alive,,October 21st[2],,,,,,Cocoyasi Village[2],
,Chapter 908;Episode 889[1],Levely[1],King[1],,Alive,,,,,,,,,
Samurai Batts,Chapter 117;Episode 70[1],,,Grand Line[2],Alive,,March 8th[2],,,,,,,
Thanklin[1],Chapter 557(cover);Episode 456[2],Brook(former);Longarm Tribe's warriors(former),"Thief, Manager (former)",,Alive,,,,,,,,Kenzan Island,
Sandayu,Chapter 928;Episode 921[1],Komurasaki[1],Bodyguard[1],,Alive,,,,,,,,Wano Country(Flower Capital)[1],
Sanji,Chapter 43;Episode 20[1],Straw Hat Pirates;[2]Straw Hat Grand Fleet;Vinsmoke Family(former);[3]Baratie(resigned);[1]Germa Kingdom(defected);[4]Ninja-Pirate-Mink-Samurai Alliance(disbanded),Cook;[1]SeniorOfficer;[5]Sous Chef (former);[1]Prince(former);[3]Cart Vendor (temporary)[6],North Blue[7],Alive,19 (debut)[13]21 (after timeskip)[14][15],March 2nd[16],"177 cm (5'10"") (debut)[17]180 cm (5'11"") (after timeskip)[14][15]",,S (RH-)[18],,,"East Blue(Baratie) (former);[1]Germa Kingdom(former);[3]Momoiro Island(former, temporary)","1,032,000,000[5]330,000,000[19]177,000,000 (Only Alive)[20]77,000,000[12]"
San Juan Wolf,Chapter 575;Episode 484(Full)[1],Blackbeard Pirates;Impel Down(former)[1],Pirate;Titanic Captain(Captain of the Seventh Ship); Prisoner of the Great Prison (former)[1],West Blue[2],Alive,97 (debut)99 (after timeskip)[2],March 2nd[4],"180 m (590'6"") (maximum)[2]",,S[2],Huge-Huge Fruit,Paramecia,Hachinosu[3],Unknown[5]
"Ichika, Nika, Sanka, Yonka, Yonka Two",Chapter 608;Episode 527[1],Neutral,,Grand Line(Ryugu Kingdom;Fish-Man Island),Alive,,,,,,,,Mermaid Cove(Coral Hill),
Sapee[1],Chapter 98;Episode 51[2],,Fishmonger,East Blue[3],Alive,,March 22nd[3],,,,,,Loguetown,
Sarahebi,Chapter 919;Episode 909[1],Beasts Pirates[2],Gifter;[2]Teacher (former)[1][3],,Alive,,,,,,,Artificial Zoan,,
,Chapter 964;Episode 963[1],Takotopus Pirates[1],Pirate;Slaver[1],,Unknown,,,,,,,,,
Sarfunkel,Chapter 620(cover);[1]One Piece Film: Red(credits)[2],Gaimon[1],,,Alive,,,,,,,,Island of Rare Animals[1],
Sally Isntoinette,Chapter 823;Episode 777[1],Goa Kingdom,Queen;Princess(former),,Alive,,July 31st[2],,,,,,Goa Kingdom,
Sarquiss,Chapter 222;Episode 146[1],Bellamy Pirates[2],First Mate[2](former),North Blue,Unknown,25 (debut)27 (after timeskip)[3],July 12th[4],"228 cm (7'6"")[3]",,F[3],,,,"38,000,000[2]"
Salou (VIZ); Saruu (Funimation),Chapter 497;Episode 391[1],Rosward Family,Pet,,Alive,,March 28th[2],,,,,,Mary Geoise,
Sarutobi[1],Chapter 931;Episode 925[2],Beasts Pirates;[3]Orochi Oniwabanshu(former),Ninja;[2]Pirate,Wano Country[4],Alive,45[4],March 12th[4],"378 cm (12'5"")[5]",,F[4],,,"Flower Capital, Wano Country",
Sasaki,Chapter 977;[1]Episode 954(silhouette);[2]Episode 982(actual)[1],Beasts Pirates(Tobiroppo);Sasaki Pirates(former)[3],Shinuchi;Pirate Captain(former)[4],Grand Line[3],Alive,34[5],February 3rd[3],"318 cm (10'5"")[5]",,XF[3],"Dragon-Dragon Fruit, Triceratops Model",Ancient Zoan,,"472,000,000[3]"
Satori,Chapter 241;Episode 155[1],God's Army[1],PriestofEnel[1],Sky Islands(Birka)[2],Unknown,25 (debut)27 (after timeskip)[2],March 10th[4],"179 cm (5'10"")[2]",,S[2],,,,
,Chapter 906;Episode 884[1],Levely[2],King[2],,Alive,,,,,,,,Jambalaya Kingdom[3],
Scales (Funimation);[1]Scaled Neptunian (OPCG),Chapter 647;Episode 567[2],Poseidon[3],,,Alive,,,,,,,,Calm Belt[2],
Scarlet,Chapter 721;[1]Episode 650[2],Riku Family,Princess(former)[3],,Deceased,,October 28th[5],,,,,,,
Schollzo,Chapter 325;Episode 231[1],Franky Family[1],Dismantler;Bounty Hunter[1],,Alive,,,,,,,,Water 7,
,WSJ 2000 Issue 8;[1]Chapter 1122[2],Endurance Curry Pirates[1],Pirate[1],,Alive,,,,,,,,,
Scopper Gaban,Chapter 19;[1]Episode 0[2],Roger Pirates(former)[1],Pirate(former)[1][3],,Alive,Under 80[5],,,,,,,Elbaph[3],
,Chapter 993;Episode 1006[1],Beasts Pirates(Armored Division);[1]Kurozumi Tama[2],Gifter[1],,Alive,,,,,,ScorpionSMILE,Artificial Zoan,,
Yeti Cool Brothers,Chapter 665;Episode 591[1],Caesar Clown[1],Mercenaries;[1]Assassins;[2]Snipers,Grand Line[3],Unknown,25[2],December 11th[4],"4250 cm (139'5"")[3]",,S (RH-)[3],,,,"20,000,000 (each)[3]"
Scotch,Chapter 595;Episode 513[1],Beasts Pirates[1],Pirate[1],,Unknown,,,,,,,,,
Scratchmen Apoo,Chapter 498;Episode 392[1],On Air Pirates[1];Beasts Pirates[2],Pirate Captain;Musician;[1]Informant[3],Grand Line[1],Alive,29 (debut)[4]31 (after timeskip)[5],March 19th[6],"256 cm (8'5"") (debut, after timeskip)[4]",,XF[5],Tone-Tone Fruit[8],Paramecia,,"350,000,000[7]198,000,000[1]"
Sea Boar,Chapter 191(cover)[1],Sea Floor,,,Alive,,,,,,,,,
Seagull Ganz Nozudon[1],Chapter 0;Episode 0[2],Roger Pirates(former)[2],Pirate[2],,Unknown,,,,,,,,,
Seamars,Chapter 440(cover)[1],Space Pirates[1],"Captain,Pirate[2]",,Alive,,,,,,,,,
Seira,Chapter 608;Episode 527[1],Mermaid Cafe,Dancer,Grand Line(Ryugu Kingdom;Fish-Man Island),Alive,,,,,,,,Mermaid Cove(Coral Hill),
Seki,Chapter 908;Episode 884[1],Levely[1],King[1](former)[2],,Unknown,,,,,,,,Lulusia Kingdom[3],
Sengoku,Chapter 234;Episode 151[1],Marines[2](semi-retired)[3],Inspector General;[4]Fleet Admiral[2](former);[5]Admiral(former)[6],South Blue[7],Alive,77 (debut)79 (after timeskip)[9],May 9th[10],"278 cm (9'1"")[7]",,F[7],"Human-Human Fruit, Model: Buddha",Mythical Zoan,Marine Headquarters(Marineford) (former),
Sen-no-Rikyuru,Chapter 1053;Episode 1080[1],,Master of Tea Ceremonies;Cook[1],,Alive,,,,,,,,Wano Country(Flower Capital)[1],
Señor Pink,Chapter 702;Episode 632[1],Donquixote Pirates[1],PirateOfficer;[1]Assassin[2],North Blue[2],Alive,46[3],June 12th[4],"244 cm (8'0"")[2]",,X[2],Swim-Swim Fruit,Paramecia,Spider Miles(former);Dressrosa(former),"58,000,000[2]"
Sentomaru,Chapter 497;Episode 401[1],Marines(former),Marine Officer(former);[2]Captain of the Science Unit (former);Dr. Vegapunk's bodyguard[3],Grand Line(Mt. Kintoki)[4],Alive,32 (debut)34 (after timeskip)[5],March 10th[6],"279 cm (9'1"")[5]",,F[5],,,Egghead,"★★★★★(500,000,000)[4]"
,Chapter 915(cover)[1],,Dyer; Instructor,,Alive,,,,,,,,,
Seto,Chapter 287;Episode 187[1],Shandia,,,Deceased,,July 16th[2],,,,,,,
Shachi,Chapter 498;Episode 392[1],Heart Pirates[1];Ninja-Pirate-Mink-Samurai Alliance(disbanded),Pirate[1],North Blue,Unknown,25 (debut)27 (after timeskip)[2],April 7th[3],,,X[4],,,Swallow Island(former)[2],
Shaka,Chapter 1062;Episode 1091[1],Marines(SSG),,Grand Line(Egghead)[2],Alive,2 (biologically 30)[2],March 22nd[2],"220cm (7'3"")[2]",,S[2],,,Egghead,
Shakuyaku,Chapter 498;Episode 392[1],Shakky's Rip-off Bar;[1]Kuja;Kuja Pirates(former)[2],Bartender;Pirate;Pirate Captain(former); Empress ofAmazon Lily(former)[2],,Alive,62 (debut)64 (after timeskip)[3],May 8th[4],"186 cm (6'1"")[3]",,X[3],,,Sabaody Archipelago,
Saint Shalria,Chapter 497;Episode 391[1],World Government[1],World Noble[1],Red Line(Mary Geoise)[2],Alive,15 (debut)17 (after timeskip)[2],March 29th[3],"178 cm (5'10"")[2]",,XF[2],,,Mary Geoise[1],
SiamSham (WT100),Chapter 31;Episode 13[1],Black Cat Pirates[1],PirateOfficer;[2]Ship Guard[1],East Blue[2],Alive,21 (debut)23 (after timeskip)[2],April 19th[3],"201 cm (6'7"")[2]",,X[2],,,,"7,000,000 (with Buchi)[2]"
Shamba[1],"Chapter 524,Episode 419[2]",Torino Kingdom,,,Alive,,November 8th[3],,,,,,,
Shandia Chief,Chapter 275;Episode 168[1],Shandia,Chief of Shandia,Sky Islands(Skypiea)[2],Alive,63 (debut)65 (after timeskip)[2],October 4th[2],"179 cm (5'10"")[2]",,X[2],,,,
Shanks,Chapter 1;Episode 4[1],Red Hair Pirates;[2]Four Emperors;[3]Roger Pirates(former)[4]World Nobles(Figarland Family) (former)[5],Chief;[6]Emperor;[3]Apprentice(former)[4],West Blue[7],Alive,27 (debut);[8]37 (pre-timeskip);39 (after timeskip)[7],March 9th[9],"199 cm (6'6"") (age 39)[10]132 cm (4'4"") (age 13)[10]",,XF[10],,,,"4,048,900,000[11]1,040,000,000[12]"
Sharingle,Chapter 428;Episode 310[1],Marines[1],Marine Captain[1],,Alive,,,,,,Wheel-Wheel Fruit,Paramecia,,"At least ★(At least100,000,000)[2]"
Sheepshead,Chapter 795;Episode 739[1],Beasts Pirates[1],"Shinuchiof theGifters(ギフターズ真打ち,Gifutāzu Shin'uchi?)[2]",Grand Line[3],Unknown,24[3],June 6th[3],"293 cm  (9'7"")[3]",,F[3],SheepSMILE,Artificial Zoan,,
Sherry (Viz); Shelly (FUNimation),Chapter 304;Episode 207[1],Nomads,Pet,,Alive,,October 31st[2],,,,,,,
St. Shepherd Ju Peter,Chapter 233;Episode 151[1],Five Elders;[1]World Nobles(Shepherd Family)[2],"Co-Head of theWorld Government(Public);[1]Warrior God of Agriculture(農務武神,Nōmu Bushin?, English versions: ""Godhead of Agriculture"")[3]",,Alive,,,,,,,,Mary Geoise[1],
St. Sommers,Chapter 1140[1],God's Knights;[1]World Nobles(Shepherd Family),,,Alive,,,,,,Thorn-Thorn Fruit,Paramecia,Mary Geoise,
Shiki,Chapter 0;Chapter 530(mentioned);Episode 425;[1]One Piece Film: Strong World[2],Golden Lion Pirates;Rocks Pirates(former);[3]Impel Down(former),Pirate Captain/Admiral; Prisoner of the Great Prison (former)[1],,Unknown,,March 20th[4],,,,Float-Float Fruit,Paramecia,Merveille,
,Chapter 963[1],Germ Pirates[1],Pirate[1],,Alive,,,,,,,,,
Shimotsuki Furiko,SBS Volume 105(mentioned)[1],,,,Unknown,,,,,,,,,
"Shimotsuki Koshiro;Koushirou(Live-Action,OPCG)",Chapter 5;Episode 19,Shimotsuki Family[1],Dojo Master[2],East Blue[3],Alive,40 (debut)49 (pre-timeskip)51 (after timeskip)[3],May 4th[3],"184 cm (6'0½"")[3]",,S[3],,,,
Shimotsuki Kozaburo,Chapter 1033;Episode 1060[1],Shimotsuki Family[1],Swordsmith[2],Grand Line(Wano Country)[3],Deceased,,November 14th[3],"221 cm (7'3"")[3]",,XF[3],,,,
Shimotsuki Kuina,Chapter 5;Episode 2[1],Shimotsuki Family[2],TraineeSwordsman[1],East Blue(Shimotsuki Village)[3],Deceased,,September 17th[5],"150 cm (4'11"")[3]",,S[3],,,Shimotsuki Village,
Shimotsuki Ryuma,Monsters;Chapter 1023;Episode 1046[1],Wano Country;Shimotsuki Family,Samurai,Wano Country[2],Deceased,,November 6th[6],"179 cm (5'10"")[5]",,XF[5],,,,
Shimotsuki Ushimaru,Chapter 953;Episode 954[1],,Daimyoof Ringo;[1]Samurai,Grand Line(Wano Country)[2],Deceased,,November 2nd[2],"298 cm (9'9"")[2]",,XF[2],,,Wano Country(Ringo)[1],
Shimotsuki Yasuie,Chapter 929;[1]Episode 916[2],,Taikomochi;[1]Daimyo(former)[3],,Deceased,,April 2nd[4],"155 cm (5'1"")[4]",,F[4],,,Ebisu Town;[1]Hakumai(former),
Stella Live,Chapter 785;Episode 727[1],,Dancer (former)[2],,Alive,,,,,,,,,
Staya Live,Chapter 785;Episode 727[1],,,,Alive,,,,,,,,,
Shine,Chapter 214;Episode 128[1],Marines[1],Chief Petty Officer[2],,Alive,,,,,,,,,"At least100,000[3]"
Shinobu,Chapter 921;Episode 911[1],Kouzuki Family[2];Ninja-Pirate-Mink-Samurai Alliance(disbanded),Kunoichi; Retainer of theKouzuki Family,Grand Line(Wano Country),Alive,49[4],October 23rd[4],"180 cm (5'11"")[5]",,F[4],Ripe-Ripe Enticement Jutsu (VIZ and Funimation);Ripe-Ripe Fruit (One Piece Official YouTube Channel)[6],Paramecia,"Kuri, Wano Country[1]",
Shinosuke,Chapter 955;Episode 956[1],Kouzuki Family,Ninja; Retainer[2],,Alive,,,,,,,,Wano Country,
Shion,Chapter 515;Episode 409(mentioned)[1],Kuja[1],Warrior[1],,Alive,,,,,,,,Amazon Lily,
Saltgrill[1],Chapter 75;Episode 33[2],Arlong Pirates[2],Pirate[2]; Head of Banquets[3],"Grand Line(Ryugu Kingdom,Fish-Man Island)[4]",Alive,,March 27th[4],,,,,,"Fish-Man District(former),Arlong Park(former)",
Shirahoshi,Chapter 612;Episode 531[1],Neptune Family;Ryugu Kingdom[2],Princessof the Ryugu Kingdom[2],Grand Line(Ryugu Kingdom;Fish-Man Island)[7],Alive,16[5],April 4th[6],"1187 cm (38'11"")[7]",,X[7],,,Ryugu Palace,
Shiryu[1]Shiliew (WT100),Chapter 538;Episode 440[1],Blackbeard Pirates;[2][3]Impel Down[4](former)[1],Titanic Captain(Captain of the Second Ship);[5]Head Jailer (former);[1][4]Prisoner of the Great Prison[1](former)[4],Grand Line[6],Alive,42 (debut)44 (after timeskip)[6],June 11th[8],"340 cm (11'2"")[6]",,X[6],Clear-Clear Fruit,Paramecia,Hachinosu[7],Unknown[6]
Shishilian,Chapter 808;Episode 758[1],Mokomo Dukedom;Inuarashi Musketeer Squad;[2]Ninja-Pirate-Mink-Samurai Alliance,Captain of the Musketeers[2],Grand Line(Mokomo Dukedom)[3],Alive,34[3],April 4th[3],"196 cm (6'5"")[3]",,XF[3],,,"Kurau City,Zou",
Shojoe (4Kids);Shoujou (Viz);Shojo (Funimation),Chapter 226;Episode 147[1],Saruyama Alliance(Shoujou Pirates)[1],Pirate;Big Boss[1],South Blue[2],Alive,25 (debut)[3]27 (after timeskip)[2],May 8th[2],"351 cm (11'6"")[2]",,X[2],,,Jaya,"36,000,000[4]"
Shu,Chapter 426;Episode 309[1],Marines[1],Marine Captain[1],,Alive,,,,,,Rust-Rust Fruit,Paramecia,,"At least ★(At least100,000,000)[2]"
Shura,Chapter 241;Episode 155[1],God's Army[1][2],PriestofEnel[1][2],Sky Islands(Birka)[3],Unknown,31 (debut)33 (after timeskip)[3],September 20th[4],"191 cm (6'3"")[3]",,S[3],,,,
"Sharley;Shirley (WT100,OPCG)",Chapter 610;Episode 529[1],Mermaid Cafe[2],Proprietor of the Mermaid Cafe;[2]Fortune teller (former)[3],Grand Line(Ryugu Kingdom;Fish-Man Island)[4],Alive,29[5],September 9th[6],"520 cm (17'1"")[4]",,XF[4],,,Mermaid Cove(Coral Hill)Fish-Man District(former),
Sicily,Chapter 504[1],Marines[1],Rear Admiral,South Blue[2],Alive,,June 5th[2],,,,,,,"At least ★★(At least200,000,000)[3]"
"Giant Pirates;Giant Pirate Warrior Band / Pirate Giants / Giant Pirate Crew (VIZ, former);Giant Warrior Pirates (Funimation, former)",,,,,,,,,,,,,,
Rocks Pirates,,,,,,,,,,,,,,
Silvers Rayleigh,Chapter 19;Episode 8[1],Roger Pirates(former)[2][3],Coating Mechanic;First Mate(former);[2][3]Pirate(former)[1][3],,Alive,76 (debut)78 (after timeskip)[5],May 13th[6],"188 cm (6'2"")[7]",,XF[7],,,Sabaody Archipelago,Unknown[8]
Synd,Chapter 657;Episode 582[1],,,,Alive,,,,,,,,,
Skaldi,Chapter 1134[1],Walrus School[1],Student[1],,Alive,,,,,,,,Elbaph[1],
Skull,Chapter 552;Episode 461[1],"Spade Pirates,[1]Whitebeard Pirates",PirateOfficer[1],,Alive,,,,,,,,,
,One Piece Green: Secret Pieces(sketch)[1],Ally of theWhitebeard Pirates[1],Pirate;Captain[1],,Alive,,,,,,,,,
Smiley,Chapter 668;Episode 594[1],Caesar Clown,"Pet, Bio-Chemical weapon of mass destruction",,Deceased,,July 18th[3],,,,"Sala-Sala Fruit, Model: Axolotl",Zoan,,
"Smoker (VIZ, Funimation),Chaser (4Kids)",Chapter 97;Episode 48[1],Marines;G-5;[2]Loguetown Marine Base(former)[3],Vice Admiral;[2]; Base Commander of G-5; Commander of G-5 Unit 01;Commodore(former);[4]Captain(former)[1],Grand Line[5],Alive,34 (debut)[6]36 (after timeskip)[7],March 14th[6],"209 cm (6'10"")[5]",,XF[5],"Smoke-Smoke Fruit (4Kids); Plume-Plume Fruit (VIZ, Funimation); Steam-Steam Fruit (Grand Adventure)",Logia,G-5Loguetown(former),"At least ★★★★★(At least500,000,000)[8]"
Smoothy (Viz);Smoothie (Funimation),Chapter 668;[1]Episode 592,Caesar Clown,,,Alive,,,,,,,,,
Snakeman,Chapter 916;Episode 904[1],Beasts Pirates[1],Gifter[1],,Alive,,,,,,SnakeSMILE,Artificial Zoan,,
"Sodomu (VIZ),Sodom  (Funimation)",Chapter 366;Episode 256,Franky Family,Transportation,,Alive,,August 6th[1],,,,,,Water 7,
Solitaire,Chapter 935;Episode 930[1],Beasts Pirates[1],Shinuchi; Vice Warden of the Prisoner Mine[1],,Alive,,,,,,MonkeySMILE,Artificial Zoan,,
Osome,Chapter 1031;Episode 1057[1],,Geisha[1],,Alive,,,,,,,,,
Sonie,Chapter 318[1],Foxy Pirates[1],Pirate;Shipwright[1],,Alive,,,,,,,,,
Sola,Chapter 608;Episode 527[1],Mermaid Cafe,Dancer,Grand Line(Ryugu Kingdom;Fish-Man Island),Alive,,,,,,,,Mermaid Cove(Coral Hill),
Sora,Chapter 825;Episode 783[1],,,,Alive,,,,,,,,,
Solo[1],Chapter 3;Episode 2[2],Helmeppo,Pet,East Blue[3],Deceased,,November 11th[3],,,,,,Shells Town,
Spacey,Chapter 433(cover)([1],Automata[1],First Lieutenant,,Alive,,March 21st[2],,,,,,,
Spandam,Chapter 355;Episode 249[1],CP0;[2]CP9[3](former);CP5(former)[1][4],CP0 Chief (former);[5]CP9 Chief (former);[3]CP5 Chief (former)[1],Grand Line[7],Alive,39 (debut)[6]41 (after timeskip)[7],March 11th[8],"192 cm (6'3½"")[7]",,XF[7],,,,
Spandine,Chapter 392;Episode 275[1],CP9(former)[1],CP9 Chief (former)[1],Grand Line[2],Alive,64 (debut)66 (after timeskip)[2],January 19th[3],"275 cm (9'0"")[2]",,XF[2],,,,
Spartan,Chapter 703;Episode 633[1],Corrida Colosseum[1],Gladiator[1],,Alive,,,,,,,,,
Spector,Chapter 223;Episode 146[1],,Hotel owner[1],,Alive,,,,,,,,Mock Town[1],
Speed,Chapter 917;Episode 904[1],Beasts Pirates(former);[2]Kurozumi Tama[3];Ninja-Pirate-Mink-Samurai Alliance(disbanded),Shinuchi[2],Wano Country[4],Alive,24[4],December 11th[4],"298 cm (9'9"")[4]",,X[4],HorseSMILE,Artificial Zoan,,
Speed Jil,Chapter 553;Episode 461[1],Whitebeard Pirates[1],14th DivisionCommander;Pirate[1],East Blue[3],Alive,,April 6th[2],,,,,,,
Spencer,Chapter 966;[1]Episode 959[2],Roger Pirates,Pirate,,Unknown,,,,,,,,,
Sphinx,Chapter 529;Episode 430[1],"World Government,Impel Down[1]",Level 2 Guardian[1],,Alive,,,,,,,,,
Splash and SplattaSplash and Splatter (WT100),Chapter 610;Episode 529[1],,Pirates,,Alive,,January 18th[2],,,S (RH-)[1],,,,
Splash and SplattaSplash and Splatter (WT100),Chapter 610;Episode 529[1],,Pirates,,Alive,,January 18th[2],,,S (RH-)[1],,,,
